Orden|Apellido|Total
602|MARI|8759
603|ARMAS|8750
604|RIPOLL|8744
605|DE LEON|8742
606|FERRANDO|8738
607|ROCHA|8718
608|ORELLANA|8715
609|BAREA|8697
610|MORO|8680
611|VEIGA|8680
612|JARA|8676
613|BAEZ|8669
614|JORDAN|8669
615|MONTIEL|8660
616|MAYOR|8635
617|CATALA|8633
618|BARRERO|8632
619|DEL CAMPO|8624
620|SANDOVAL|8622
621|CLIMENT|8585
622|FRAGA|8584
623|TORTOSA|8584
624|SAN MARTIN|8546
625|TABOADA|8533
626|LOBO|8522
627|PRADA|8519
628|AYUSO|8516
629|PRADOS|8506
630|BEJARANO|8502
631|ARTEAGA|8495
632|ABRIL|8476
633|TAMAYO|8451
634|MORON|8447
635|AMOROS|8445
636|MAYA|8427
637|PADRON|8420
638|DIEGUEZ|8413
639|PATIÑO|8395
640|ALEMAN|8347
641|PEÑALVER|8345
642|ALVARO|8317
643|BATISTA|8309
644|ALMEIDA|8291
645|MANSO|8277
646|YUSTE|8263
647|MAROTO|8243
648|CERDA|8243
649|INFANTE|8242
650|BARROS|8232
651|GALERA|8224
652|BERENGUER|8158
653|ALBERT|8157
654|YE|8148
655|NOGALES|8133
656|ATIENZA|8118
657|PINILLA|8084
658|MANRIQUE|8066
659|RIBERA|8054
660|MOTA|8054
661|MACHADO|8053
662|PEDROSA|8043
663|CANALES|8036
664|MIRO|8032
665|VILLAVERDE|8018
666|DEL OLMO|7995
667|MIGUEZ|7995
668|DIEGO|7993
669|LUCENA|7992
670|SAMPEDRO|7986
671|VIÑAS|7985
672|ECHEVERRIA|7977
673|JARAMILLO|7955
674|MEDRANO|7943
675|VILLENA|7937
676|DUEÑAS|7933
677|TERUEL|7906
678|CIFUENTES|7857
679|MANZANARES|7831
680|MEJIA|7830
681|UBEDA|7826
682|ECHEVARRIA|7824
683|ALMAGRO|7824
684|RAYA|7822
685|XU|7815
686|SEVILLANO|7810
687|ORTUÑO|7800
688|NOVOA|7788
689|LI|7780
690|MERCHAN|7716
691|CHECA|7695
692|ARES|7685
693|TRIGO|7676
694|DE LAS HERAS|7661
695|LUJAN|7653
696|ROBLEDO|7652
697|PERDOMO|7640
698|MORILLAS|7636
699|ACEDO|7635
700|ESPAÑA|7632
701|INIESTA|7629
702|FRANCISCO|7622
703|FRANCES|7592
704|HERREROS|7589
705|CAPARROS|7586
706|MACIA|7579
707|PUERTO|7571
708|DE DIEGO|7568
709|BOLAÑOS|7558
710|QUEVEDO|7558
711|SEGARRA|7538
712|HERMIDA|7521
713|BALAGUER|7511
714|GRANADO|7502
715|MATAS|7489
716|MONTAÑO|7458
717|ZAMORANO|7447
718|ESPADA|7433
719|BERNABE|7429
720|TALAVERA|7425
721|IBARRA|7397
722|PUERTA|7389
723|ALVES|7389
724|TORRE|7367
725|PERAL|7367
726|TELLEZ|7355
727|PRAT|7354
728|TORIBIO|7336
729|PINA|7332
730|MONTILLA|7322
731|MAYO|7320
732|CUBERO|7315
733|TOME|7296
734|BARBERA|7283
735|CORONADO|7283
736|MARIÑO|7277
737|MONZON|7271
738|BUENDIA|7260
739|BERNABEU|7243
740|MOLINERO|7232
741|LAMAS|7218
742|GIRALDO|7208
743|PALACIO|7207
744|CARRO|7183
745|PEIRO|7167
746|BADIA|7157
747|ENCINAS|7155
748|SANMARTIN|7148
749|LLORET|7146
750|ARANA|7140
751|WU|7117
752|MARTORELL|7111
753|RODENAS|7107
754|BOIX|7075
755|DE LOS SANTOS|7069
756|PARRILLA|7065
757|SAURA|7063
758|CERVANTES|7063
759|VIVAS|7056
760|MELIAN|7056
761|LIU|7055
762|CAMPS|7013
763|COSTAS|7012
764|MELENDEZ|7009
765|COCA|6999
766|MAYORAL|6997
767|VALDIVIA|6982
768|TOVAR|6971
769|HINOJOSA|6960
770|MARISCAL|6950
771|FIDALGO|6939
772|PIQUERAS|6938
773|QUILES|6921
774|CAÑETE|6921
775|PEDRAZA|6915
776|REVUELTA|6864
777|NARVAEZ|6860
778|FARIÑA|6850
779|ZHOU|6847
780|MIR|6840
781|CUELLAR|6836
782|ACUÑA|6830
783|PLANAS|6827
784|SEPULVEDA|6791
785|CARRERO|6785
786|ZURITA|6780
787|PICAZO|6744
788|GOÑI|6732
789|GAMERO|6731
790|UREÑA|6723
791|CAÑADAS|6711
792|SALES|6707
793|DIALLO|6694
794|ANDUJAR|6679
795|LEMA|6665
796|GORDO|6624
797|CESPEDES|6618
798|PARADA|6615
799|RIAL|6605
800|PALAU|6591
801|GIRON|6590
802|FRUTOS|6584
803|CODINA|6584
804|MESTRE|6583
805|SOLANA|6579
806|PICO|6560
807|TORREGROSA|6560
808|ALAMO|6551
809|PERERA|6549
810|FUENTE|6543
811|SABATER|6536
812|AMOR|6535
813|RODRIGUES|6525
814|CARRASCOSA|6523
815|ROMO|6513
816|ARNAU|6505
817|BOTELLA|6499
818|SEGUI|6499
819|ARELLANO|6488
820|GUISADO|6485
821|RIQUELME|6485
822|ADAN|6469
823|NOVO|6456
824|VILCHES|6452
825|QUIROGA|6449
826|VIERA|6446
827|MERA|6436
828|AMORES|6434
829|ESPINOZA|6390
830|CALATAYUD|6380
831|DE DIOS|6367
832|VEGAS|6363
833|RIBES|6349
834|ANTOLIN|6343
835|NEVADO|6340
836|TOLEDANO|6337
837|CHICO|6333
838|REVILLA|6315
839|LORA|6310
840|HERMOSO|6308
841|PAREJO|6282
842|HERRAIZ|6274
843|PELLICER|6274
844|CENTENO|6271
845|QUERO|6262
846|PALAZON|6259
847|FARRE|6245
848|CANTOS|6243
849|JAIME|6236
850|LABRADOR|6232
851|RUS|6228
852|BENAVIDES|6226
853|RAMIRO|6223
854|JIMENO|6215
855|NEIRA|6210
856|CAAMAÑO|6200
857|ANTUNEZ|6198
858|NIEVES|6194
859|TORRALBA|6188
860|ALI|6186
861|DEL MORAL|6169
862|SEMPERE|6156
863|VICO|6153
864|CORDON|6150
865|ALEMANY|6149
866|SILVESTRE|6149
867|BELDA|6147
868|YAGUE|6132
869|VERDUGO|6126
870|COMAS|6122
871|ELVIRA|6119
872|POSTIGO|6116
873|GUIRADO|6094
874|FONSECA|6090
875|SACRISTAN|6087
876|GUARDIOLA|6077
877|ROSELL|6055
878|VACA|6053
879|GUEVARA|6053
880|HOYOS|6046
881|MANSILLA|6045
882|MEGIAS|6028
883|GALIANO|6024
884|CAPDEVILA|6024
885|COLOMER|6022
886|CANTO|6015
887|FLOREZ|5997
888|SOUSA|5978
889|MONTENEGRO|5977
890|URIARTE|5973
891|ARNAIZ|5963
892|BERROCAL|5953
893|CAÑIZARES|5951
894|CABANILLAS|5939
895|ROSELLO|5935
896|GABARRI|5926
897|SANS|5921
898|PIÑA|5912
899|PERELLO|5884
900|POP|5884
901|OLIVEIRA|5878
902|LLANOS|5877
903|FEIJOO|5875
904|RIO|5874
905|AROCA|5860
906|GISBERT|5844
907|TRILLO|5808
908|GILABERT|5805
909|FIGUERAS|5802
910|CRISTOBAL|5793
911|ESPIN|5791
912|MAZA|5773
913|MONTEAGUDO|5770
914|CORNEJO|5759
915|CERDAN|5759
916|ALIAGA|5758
917|MAÑAS|5751
918|SAN JUAN|5747
919|PORTELA|5726
920|QUIÑONES|5720
921|POPA|5710
922|CHAPARRO|5709
923|TUDELA|5690
924|GARRIGA|5683
925|TORREJON|5661
926|CAMPOY|5661
927|AMADO|5658
928|AMAT|5656
929|SECO|5651
930|REIG|5627
931|MESEGUER|5625
932|MURIEL|5564
933|JULIAN|5558
934|CARPIO|5552
935|HOLGADO|5551
936|MATOS|5550
937|TEJERA|5537
938|CARRANZA|5536
939|MORILLA|5527
940|CAMINO|5527
941|BARRIENTOS|5508
942|MARMOL|5507
943|BASTIDA|5501
944|ESPINO|5488
945|MERCADO|5484
946|BETANCOR|5482
947|ABREU|5482
948|OVIEDO|5481
949|KAUR|5480
950|SAN MIGUEL|5479
951|OLIVERA|5474
952|CASTELLS|5470
953|VALCARCEL|5468
954|SALDAÑA|5458
955|ZHU|5436
956|SAMPER|5434
957|MORERA|5429
958|PLASENCIA|5406
959|GASPAR|5392
960|JULIA|5392
961|GUIRAO|5383
962|CASALS|5372
963|LIMA|5351
964|NOGUEIRA|5344
965|GAVILAN|5342
966|BENAVENTE|5336
967|PARIS|5335
968|LILLO|5318
969|FLORIDO|5314
970|RUZ|5306
971|MELGAR|5292
972|FERRERA|5263
973|MORATO|5257
974|GOMIS|5256
975|CHICA|5255
976|DE HARO|5244
977|VALDERRAMA|5214
978|ZHENG|5214
979|ANAYA|5211
980|CALZADA|5209
981|UGARTE|5201
982|TUR|5201
983|JORDA|5189
984|PEREDA|5187
985|RECHE|5181
986|CASARES|5180
987|CARDOSO|5173
988|ELIAS|5163
989|CUETO|5159
990|PAJARES|5155
991|DE LA IGLESIA|5154
992|URRUTIA|5154
993|HIGUERAS|5149
994|FERRERAS|5148
995|GOMES|5146
996|DORTA|5137
997|VERDEJO|5134
998|PUEYO|5130
999|JOVER|5127
1000|LORCA|5126
1001|MONTALVO|5124
1002|LARREA|5118
1003|CONEJO|5112
1004|BERNARDO|5109
1005|VARA|5100
1006|MERIDA|5091
1007|DE LA PEÑA|5088
1008|CABRERO|5081
1009|CASERO|5057
1010|BARBOSA|5056
1011|AGULLO|5053
1012|MATO|5050
